Time,TotalSitesDisturbed,NumberEvents,
10, 248, 9, 
20, 535, 8, 
30, 192, 12, 
40, 609, 9, 
50, 720, 10, 
60, 321, 10, 
70, 180, 13, 
80, 659, 14, 
90, 562, 13, 
100, 980, 11, 
