Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 6865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14495, 0, 0, 0, 
20, eco999, 1, 0, 3092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16242, 0, 0, 0, 
30, eco999, 1, 0, 1205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5871, 0, 0, 0, 
40, eco999, 1, 0, 3427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8272, 0, 0, 0, 
50, eco999, 1, 0, 4946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2482, 0, 0, 0, 
60, eco999, 1, 0, 10518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1375, 0, 0, 0, 
70, eco999, 1, 0, 6417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3238, 0, 0, 0, 
80, eco999, 1, 0, 6170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5258, 0, 0, 0, 
90, eco999, 1, 0, 10938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2073, 0, 0, 0, 
100, eco999, 1, 0, 10888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2756, 0, 0, 0, 
