Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1869	8	21.5	11.4	731.1858387	43	289	0
1869	9	20	8.6	677.7667	21	289	0
1869	10	15.1	2.6	539.9254355	32	289	0
1869	11	8.9	0.4	349.3867	52	289	0
1869	12	-0.3	-7.2	377.05915	87	289	0
1870	1	-0.2	-8.2	458.3386935	141	289	0
1870	2	-0.8	-11	613.6085172	38	289	0
1870	3	5.2	-3	674.3276129	61	289	0
1870	4	10.6	0.9	766.0939	62	289	0
1870	5	20.7	7.5	848.8796613	36	289	0
1870	6	23.9	11.4	808.7287	56	289	0
1870	7	25.7	15.9	698.256	71	289	0
1870	8	21.5	11.4	731.1858387	43	289	0
1870	9	20	8.6	677.7667	21	289	0
1870	10	15.1	2.6	539.9254355	32	289	0
1870	11	8.9	0.4	349.3867	52	289	0
1870	12	-0.3	-7.2	377.05915	87	289	0
1871	1	-0.2	-8.2	458.3386935	141	289	0
1871	2	-0.8	-11	613.6085172	38	289	0
1871	3	5.2	-3	674.3276129	61	289	0
1871	4	10.6	0.9	766.0939	62	289	0
1871	5	20.7	7.5	848.8796613	36	289	0
1871	6	23.9	11.4	808.7287	56	289	0
1871	7	25.7	15.9	698.256	71	289	0
1871	8	21.5	11.4	731.1858387	43	289	0
1871	9	20	8.6	677.7667	21	289	0
1871	10	15.1	2.6	539.9254355	32	289	0
1871	11	8.9	0.4	349.3867	52	289	0
1871	12	-0.3	-7.2	377.05915	87	289	0
1872	1	-0.2	-8.2	458.3386935	141	289	0
1872	2	-0.8	-11	613.6085172	38	289	0
1872	3	5.2	-3	674.3276129	61	289	0
1872	4	10.6	0.9	766.0939	62	289	0
1872	5	20.7	7.5	848.8796613	36	289	0
1872	6	23.9	11.4	808.7287	56	289	0
1872	7	25.7	15.9	698.256	71	289	0
1872	8	21.5	11.4	731.1858387	43	289	0
1872	9	20	8.6	677.7667	21	289	0
1872	10	15.1	2.6	539.9254355	32	289	0
1872	11	8.9	0.4	349.3867	52	289	0
1872	12	-0.3	-7.2	377.05915	87	289	0
1873	1	-0.2	-8.2	458.3386935	141	289	0
1873	2	-0.8	-11	613.6085172	38	289	0
1873	3	5.2	-3	674.3276129	61	289	0
1873	4	10.6	0.9	766.0939	62	289	0
1873	5	20.7	7.5	848.8796613	36	289	0
1873	6	23.9	11.4	808.7287	56	289	0
1873	7	25.7	15.9	698.256	71	289	0
1873	8	21.5	11.4	731.1858387	43	289	0
1873	9	20	8.6	677.7667	21	289	0
1873	10	15.1	2.6	539.9254355	32	289	0
1873	11	8.9	0.4	349.3867	52	289	0
1873	12	-0.3	-7.2	377.05915	87	289	0
1874	1	-0.2	-8.2	458.3386935	141	290	0
1874	2	-0.8	-11	613.6085172	38	290	0
1874	3	5.2	-3	674.3276129	61	290	0
1874	4	10.6	0.9	766.0939	62	290	0
1874	5	20.7	7.5	848.8796613	36	290	0
1874	6	23.9	11.4	808.7287	56	290	0
1874	7	25.7	15.9	698.256	71	290	0
1874	8	21.5	11.4	731.1858387	43	290	0
1874	9	20	8.6	677.7667	21	290	0
1874	10	15.1	2.6	539.9254355	32	290	0
1874	11	8.9	0.4	349.3867	52	290	0
1874	12	-0.3	-7.2	377.05915	87	290	0
1875	1	-0.2	-8.2	458.3386935	141	290	0
1875	2	-0.8	-11	613.6085172	38	290	0
1875	3	5.2	-3	674.3276129	61	290	0
1875	4	10.6	0.9	766.0939	62	290	0
1875	5	20.7	7.5	848.8796613	36	290	0
1875	6	23.9	11.4	808.7287	56	290	0
1875	7	25.7	15.9	698.256	71	290	0
1875	8	21.5	11.4	731.1858387	43	290	0
1875	9	20	8.6	677.7667	21	290	0
1875	10	15.1	2.6	539.9254355	32	290	0
1875	11	8.9	0.4	349.3867	52	290	0
1875	12	-0.3	-7.2	377.05915	87	290	0
1876	1	-0.2	-8.2	458.3386935	141	290	0
1876	2	-0.8	-11	613.6085172	38	290	0
1876	3	5.2	-3	674.3276129	61	290	0
1876	4	10.6	0.9	766.0939	62	290	0
1876	5	20.7	7.5	848.8796613	36	290	0
1876	6	23.9	11.4	808.7287	56	290	0
1876	7	25.7	15.9	698.256	71	290	0
1876	8	21.5	11.4	731.1858387	43	290	0
1876	9	20	8.6	677.7667	21	290	0
1876	10	15.1	2.6	539.9254355	32	290	0
1876	11	8.9	0.4	349.3867	52	290	0
1876	12	-0.3	-7.2	377.05915	87	290	0
1877	1	-0.2	-8.2	458.3386935	141	290	0
1877	2	-0.8	-11	613.6085172	38	290	0
1877	3	5.2	-3	674.3276129	61	290	0
1877	4	10.6	0.9	766.0939	62	290	0
1877	5	20.7	7.5	848.8796613	36	290	0
1877	6	23.9	11.4	808.7287	56	290	0
1877	7	25.7	15.9	698.256	71	290	0
1877	8	21.5	11.4	731.1858387	43	290	0
1877	9	20	8.6	677.7667	21	290	0
1877	10	15.1	2.6	539.9254355	32	290	0
1877	11	8.9	0.4	349.3867	52	290	0
1877	12	-0.3	-7.2	377.05915	87	290	0
1878	1	-0.2	-8.2	458.3386935	141	290	0
1878	2	-0.8	-11	613.6085172	38	290	0
1878	3	5.2	-3	674.3276129	61	290	0
1878	4	10.6	0.9	766.0939	62	290	0
1878	5	20.7	7.5	848.8796613	36	290	0
1878	6	23.9	11.4	808.7287	56	290	0
1878	7	25.7	15.9	698.256	71	290	0
1878	8	21.5	11.4	731.1858387	43	290	0
1878	9	20	8.6	677.7667	21	290	0
1878	10	15.1	2.6	539.9254355	32	290	0
1878	11	8.9	0.4	349.3867	52	290	0
1878	12	-0.3	-7.2	377.05915	87	290	0
1879	1	-0.2	-8.2	458.3386935	141	290	0
1879	2	-0.8	-11	613.6085172	38	290	0
1879	3	5.2	-3	674.3276129	61	290	0
1879	4	10.6	0.9	766.0939	62	290	0
1879	5	20.7	7.5	848.8796613	36	290	0
1879	6	23.9	11.4	808.7287	56	290	0
1879	7	25.7	15.9	698.256	71	290	0
1879	8	21.5	11.4	731.1858387	43	290	0
1879	9	20	8.6	677.7667	21	290	0
1879	10	15.1	2.6	539.9254355	32	290	0
1879	11	8.9	0.4	349.3867	52	290	0
1879	12	-0.3	-7.2	377.05915	87	290	0
1880	1	-0.2	-8.2	458.3386935	141	290	0
1880	2	-0.8	-11	613.6085172	38	290	0
1880	3	5.2	-3	674.3276129	61	290	0
1880	4	10.6	0.9	766.0939	62	290	0
1880	5	20.7	7.5	848.8796613	36	290	0
1880	6	23.9	11.4	808.7287	56	290	0
1880	7	25.7	15.9	698.256	71	290	0
1880	8	21.5	11.4	731.1858387	43	290	0
1880	9	20	8.6	677.7667	21	290	0
1880	10	15.1	2.6	539.9254355	32	290	0
1880	11	8.9	0.4	349.3867	52	290	0
1880	12	-0.3	-7.2	377.05915	87	290	0
1881	1	-0.2	-8.2	458.3386935	141	291	0
1881	2	-0.8	-11	613.6085172	38	291	0
1881	3	5.2	-3	674.3276129	61	291	0
1881	4	10.6	0.9	766.0939	62	291	0
1881	5	20.7	7.5	848.8796613	36	291	0
1881	6	23.9	11.4	808.7287	56	291	0
1881	7	25.7	15.9	698.256	71	291	0
1881	8	21.5	11.4	731.1858387	43	291	0
1881	9	20	8.6	677.7667	21	291	0
1881	10	15.1	2.6	539.9254355	32	291	0
1881	11	8.9	0.4	349.3867	52	291	0
1881	12	-0.3	-7.2	377.05915	87	291	0
1882	1	-0.2	-8.2	458.3386935	141	291	0
1882	2	-0.8	-11	613.6085172	38	291	0
1882	3	5.2	-3	674.3276129	61	291	0
1882	4	10.6	0.9	766.0939	62	291	0
1882	5	20.7	7.5	848.8796613	36	291	0
1882	6	23.9	11.4	808.7287	56	291	0
1882	7	25.7	15.9	698.256	71	291	0
1882	8	21.5	11.4	731.1858387	43	291	0
1882	9	20	8.6	677.7667	21	291	0
1882	10	15.1	2.6	539.9254355	32	291	0
1882	11	8.9	0.4	349.3867	52	291	0
1882	12	-0.3	-7.2	377.05915	87	291	0
1883	1	-0.2	-8.2	458.3386935	141	291	0
1883	2	-0.8	-11	613.6085172	38	291	0
1883	3	5.2	-3	674.3276129	61	291	0
1883	4	10.6	0.9	766.0939	62	291	0
1883	5	20.7	7.5	848.8796613	36	291	0
1883	6	23.9	11.4	808.7287	56	291	0
1883	7	25.7	15.9	698.256	71	291	0
1883	8	21.5	11.4	731.1858387	43	291	0
1883	9	20	8.6	677.7667	21	291	0
1883	10	15.1	2.6	539.9254355	32	291	0
1883	11	8.9	0.4	349.3867	52	291	0
1883	12	-0.3	-7.2	377.05915	87	291	0
1884	1	-0.2	-8.2	458.3386935	141	291	0
1884	2	-0.8	-11	613.6085172	38	291	0
1884	3	5.2	-3	674.3276129	61	291	0
1884	4	10.6	0.9	766.0939	62	291	0
1884	5	20.7	7.5	848.8796613	36	291	0
1884	6	23.9	11.4	808.7287	56	291	0
1884	7	25.7	15.9	698.256	71	291	0
1884	8	21.5	11.4	731.1858387	43	291	0
1884	9	20	8.6	677.7667	21	291	0
1884	10	15.1	2.6	539.9254355	32	291	0
1884	11	8.9	0.4	349.3867	52	291	0
1884	12	-0.3	-7.2	377.05915	87	291	0
1885	1	-0.2	-8.2	458.3386935	141	291	0
1885	2	-0.8	-11	613.6085172	38	291	0
1885	3	5.2	-3	674.3276129	61	291	0
1885	4	10.6	0.9	766.0939	62	291	0
1885	5	20.7	7.5	848.8796613	36	291	0
1885	6	23.9	11.4	808.7287	56	291	0
1885	7	25.7	15.9	698.256	71	291	0
1885	8	21.5	11.4	731.1858387	43	291	0
1885	9	20	8.6	677.7667	21	291	0
1885	10	15.1	2.6	539.9254355	32	291	0
1885	11	8.9	0.4	349.3867	52	291	0
1885	12	-0.3	-7.2	377.05915	87	291	0
1886	1	-0.2	-8.2	458.3386935	141	291	0
1886	2	-0.8	-11	613.6085172	38	291	0
1886	3	5.2	-3	674.3276129	61	291	0
1886	4	10.6	0.9	766.0939	62	291	0
1886	5	20.7	7.5	848.8796613	36	291	0
1886	6	23.9	11.4	808.7287	56	291	0
1886	7	25.7	15.9	698.256	71	291	0
1886	8	21.5	11.4	731.1858387	43	291	0
1886	9	20	8.6	677.7667	21	291	0
1886	10	15.1	2.6	539.9254355	32	291	0
1886	11	8.9	0.4	349.3867	52	291	0
1886	12	-0.3	-7.2	377.05915	87	291	0
1887	1	-0.2	-8.2	458.3386935	141	292	0
1887	2	-0.8	-11	613.6085172	38	292	0
1887	3	5.2	-3	674.3276129	61	292	0
1887	4	10.6	0.9	766.0939	62	292	0
1887	5	20.7	7.5	848.8796613	36	292	0
1887	6	23.9	11.4	808.7287	56	292	0
1887	7	25.7	15.9	698.256	71	292	0
1887	8	21.5	11.4	731.1858387	43	292	0
1887	9	20	8.6	677.7667	21	292	0
1887	10	15.1	2.6	539.9254355	32	292	0
1887	11	8.9	0.4	349.3867	52	292	0
1887	12	-0.3	-7.2	377.05915	87	292	0
1888	1	-0.2	-8.2	458.3386935	141	292	0
1888	2	-0.8	-11	613.6085172	38	292	0
1888	3	5.2	-3	674.3276129	61	292	0
1888	4	10.6	0.9	766.0939	62	292	0
1888	5	20.7	7.5	848.8796613	36	292	0
1888	6	23.9	11.4	808.7287	56	292	0
1888	7	25.7	15.9	698.256	71	292	0
1888	8	21.5	11.4	731.1858387	43	292	0
1888	9	20	8.6	677.7667	21	292	0
1888	10	15.1	2.6	539.9254355	32	292	0
1888	11	8.9	0.4	349.3867	52	292	0
1888	12	-0.3	-7.2	377.05915	87	292	0
1889	1	-0.2	-8.2	458.3386935	141	292	0
1889	2	-0.8	-11	613.6085172	38	292	0
1889	3	5.2	-3	674.3276129	61	292	0
1889	4	10.6	0.9	766.0939	62	292	0
1889	5	20.7	7.5	848.8796613	36	292	0
1889	6	23.9	11.4	808.7287	56	292	0
1889	7	25.7	15.9	698.256	71	292	0
1889	8	21.5	11.4	731.1858387	43	292	0
1889	9	20	8.6	677.7667	21	292	0
1889	10	15.1	2.6	539.9254355	32	292	0
1889	11	8.9	0.4	349.3867	52	292	0
1889	12	-0.3	-7.2	377.05915	87	292	0
1890	1	-0.2	-8.2	458.3386935	141	292	0
1890	2	-0.8	-11	613.6085172	38	292	0
1890	3	5.2	-3	674.3276129	61	292	0
1890	4	10.6	0.9	766.0939	62	292	0
1890	5	20.7	7.5	848.8796613	36	292	0
1890	6	23.9	11.4	808.7287	56	292	0
1890	7	25.7	15.9	698.256	71	292	0
1890	8	21.5	11.4	731.1858387	43	292	0
1890	9	20	8.6	677.7667	21	292	0
1890	10	15.1	2.6	539.9254355	32	292	0
1890	11	8.9	0.4	349.3867	52	292	0
1890	12	-0.3	-7.2	377.05915	87	292	0
1891	1	-0.2	-8.2	458.3386935	141	292	0
1891	2	-0.8	-11	613.6085172	38	292	0
1891	3	5.2	-3	674.3276129	61	292	0
1891	4	10.6	0.9	766.0939	62	292	0
1891	5	20.7	7.5	848.8796613	36	292	0
1891	6	23.9	11.4	808.7287	56	292	0
1891	7	25.7	15.9	698.256	71	292	0
1891	8	21.5	11.4	731.1858387	43	292	0
1891	9	20	8.6	677.7667	21	292	0
1891	10	15.1	2.6	539.9254355	32	292	0
1891	11	8.9	0.4	349.3867	52	292	0
1891	12	-0.3	-7.2	377.05915	87	292	0
1892	1	-0.2	-8.2	458.3386935	141	293	0
1892	2	-0.8	-11	613.6085172	38	293	0
1892	3	5.2	-3	674.3276129	61	293	0
1892	4	10.6	0.9	766.0939	62	293	0
1892	5	20.7	7.5	848.8796613	36	293	0
1892	6	23.9	11.4	808.7287	56	293	0
1892	7	25.7	15.9	698.256	71	293	0
1892	8	21.5	11.4	731.1858387	43	293	0
1892	9	20	8.6	677.7667	21	293	0
1892	10	15.1	2.6	539.9254355	32	293	0
1892	11	8.9	0.4	349.3867	52	293	0
1892	12	-0.3	-7.2	377.05915	87	293	0
1893	1	-0.2	-8.2	458.3386935	141	293	0
1893	2	-0.8	-11	613.6085172	38	293	0
1893	3	5.2	-3	674.3276129	61	293	0
1893	4	10.6	0.9	766.0939	62	293	0
1893	5	20.7	7.5	848.8796613	36	293	0
1893	6	23.9	11.4	808.7287	56	293	0
1893	7	25.7	15.9	698.256	71	293	0
1893	8	21.5	11.4	731.1858387	43	293	0
1893	9	20	8.6	677.7667	21	293	0
1893	10	15.1	2.6	539.9254355	32	293	0
1893	11	8.9	0.4	349.3867	52	293	0
1893	12	-0.3	-7.2	377.05915	87	293	0
1894	1	-0.2	-8.2	458.3386935	141	293	0
1894	2	-0.8	-11	613.6085172	38	293	0
1894	3	5.2	-3	674.3276129	61	293	0
1894	4	10.6	0.9	766.0939	62	293	0
1894	5	20.7	7.5	848.8796613	36	293	0
1894	6	23.9	11.4	808.7287	56	293	0
1894	7	25.7	15.9	698.256	71	293	0
1894	8	21.5	11.4	731.1858387	43	293	0
1894	9	20	8.6	677.7667	21	293	0
1894	10	15.1	2.6	539.9254355	32	293	0
1894	11	8.9	0.4	349.3867	52	293	0
1894	12	-0.3	-7.2	377.05915	87	293	0
1895	1	-0.2	-8.2	458.3386935	141	293	0
1895	2	-0.8	-11	613.6085172	38	293	0
1895	3	5.2	-3	674.3276129	61	293	0
1895	4	10.6	0.9	766.0939	62	293	0
1895	5	20.7	7.5	848.8796613	36	293	0
1895	6	23.9	11.4	808.7287	56	293	0
1895	7	25.7	15.9	698.256	71	293	0
1895	8	21.5	11.4	731.1858387	43	293	0
1895	9	20	8.6	677.7667	21	293	0
1895	10	15.1	2.6	539.9254355	32	293	0
1895	11	8.9	0.4	349.3867	52	293	0
1895	12	-0.3	-7.2	377.05915	87	293	0
1896	1	-0.2	-8.2	458.3386935	141	293	0
1896	2	-0.8	-11	613.6085172	38	293	0
1896	3	5.2	-3	674.3276129	61	293	0
1896	4	10.6	0.9	766.0939	62	293	0
1896	5	20.7	7.5	848.8796613	36	293	0
1896	6	23.9	11.4	808.7287	56	293	0
1896	7	25.7	15.9	698.256	71	293	0
1896	8	21.5	11.4	731.1858387	43	293	0
1896	9	20	8.6	677.7667	21	293	0
1896	10	15.1	2.6	539.9254355	32	293	0
1896	11	8.9	0.4	349.3867	52	293	0
1896	12	-0.3	-7.2	377.05915	87	293	0
1897	1	-0.2	-8.2	458.3386935	141	294	0
1897	2	-0.8	-11	613.6085172	38	294	0
1897	3	5.2	-3	674.3276129	61	294	0
1897	4	10.6	0.9	766.0939	62	294	0
1897	5	20.7	7.5	848.8796613	36	294	0
1897	6	23.9	11.4	808.7287	56	294	0
1897	7	25.7	15.9	698.256	71	294	0
1897	8	21.5	11.4	731.1858387	43	294	0
1897	9	20	8.6	677.7667	21	294	0
1897	10	15.1	2.6	539.9254355	32	294	0
1897	11	8.9	0.4	349.3867	52	294	0
1897	12	-0.3	-7.2	377.05915	87	294	0
1898	1	-0.2	-8.2	458.3386935	141	294	0
1898	2	-0.8	-11	613.6085172	38	294	0
1898	3	5.2	-3	674.3276129	61	294	0
1898	4	10.6	0.9	766.0939	62	294	0
1898	5	20.7	7.5	848.8796613	36	294	0
1898	6	23.9	11.4	808.7287	56	294	0
1898	7	25.7	15.9	698.256	71	294	0
1898	8	21.5	11.4	731.1858387	43	294	0
1898	9	20	8.6	677.7667	21	294	0
1898	10	15.1	2.6	539.9254355	32	294	0
1898	11	8.9	0.4	349.3867	52	294	0
1898	12	-0.3	-7.2	377.05915	87	294	0
1899	1	-0.2	-8.2	458.3386935	141	294	0
1899	2	-0.8	-11	613.6085172	38	294	0
1899	3	5.2	-3	674.3276129	61	294	0
1899	4	10.6	0.9	766.0939	62	294	0
1899	5	20.7	7.5	848.8796613	36	294	0
1899	6	23.9	11.4	808.7287	56	294	0
1899	7	25.7	15.9	698.256	71	294	0
1899	8	21.5	11.4	731.1858387	43	294	0
1899	9	20	8.6	677.7667	21	294	0
1899	10	15.1	2.6	539.9254355	32	294	0
1899	11	8.9	0.4	349.3867	52	294	0
1899	12	-0.3	-7.2	377.05915	87	294	0
1900	1	-0.2	-8.2	458.3386935	141	294	0
1900	2	-0.8	-11	613.6085172	38	294	0
1900	3	5.2	-3	674.3276129	61	294	0
1900	4	10.6	0.9	766.0939	62	294	0
1900	5	20.7	7.5	848.8796613	36	294	0
1900	6	23.9	11.4	808.7287	56	294	0
1900	7	25.7	15.9	698.256	71	294	0
1900	8	21.5	11.4	731.1858387	43	294	0
1900	9	20	8.6	677.7667	21	294	0
1900	10	15.1	2.6	539.9254355	32	294	0
1900	11	8.9	0.4	349.3867	52	294	0
1900	12	-0.3	-7.2	377.05915	87	294	0
1901	1	-0.2	-8.2	458.3386935	141	295	0
1901	2	-0.8	-11	613.6085172	38	295	0
1901	3	5.2	-3	674.3276129	61	295	0
1901	4	10.6	0.9	766.0939	62	295	0
1901	5	20.7	7.5	848.8796613	36	295	0
1901	6	23.9	11.4	808.7287	56	295	0
1901	7	25.7	15.9	698.256	71	295	0
1901	8	21.5	11.4	731.1858387	43	295	0
1901	9	20	8.6	677.7667	21	295	0
1901	10	15.1	2.6	539.9254355	32	295	0
1901	11	8.9	0.4	349.3867	52	295	0
1901	12	-0.3	-7.2	377.05915	87	295	0
1902	1	-0.2	-8.2	458.3386935	141	295	0
1902	2	-0.8	-11	613.6085172	38	295	0
1902	3	5.2	-3	674.3276129	61	295	0
1902	4	10.6	0.9	766.0939	62	295	0
1902	5	20.7	7.5	848.8796613	36	295	0
1902	6	23.9	11.4	808.7287	56	295	0
1902	7	25.7	15.9	698.256	71	295	0
1902	8	21.5	11.4	731.1858387	43	295	0
1902	9	20	8.6	677.7667	21	295	0
1902	10	15.1	2.6	539.9254355	32	295	0
1902	11	8.9	0.4	349.3867	52	295	0
1902	12	-0.3	-7.2	377.05915	87	295	0
1903	1	-0.2	-8.2	458.3386935	141	295	0
1903	2	-0.8	-11	613.6085172	38	295	0
1903	3	5.2	-3	674.3276129	61	295	0
1903	4	10.6	0.9	766.0939	62	295	0
1903	5	20.7	7.5	848.8796613	36	295	0
