species,percent,year
acerrubr,33.74,1999
querrubr,66.27,1999
acerrubr,35.48,2009
querrubr,64.51,2009
acerrubr,36.39,2019
querrubr,63.61,2019
acerrubr,36.77,2029
querrubr,63.22,2029
acerrubr,36.75,2039
querrubr,63.26,2039
acerrubr,36.32,2049
querrubr,63.68,2049
