Time,Year,Month,Ecoregion,SoilType,NrOfCohorts,MaxLayerRatio,Layers,SumCanopyProp,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),Potential Evapotranspiration(mm),Potential Evaporation(mm),Evaporation(mm),PotentialTranspiration(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),Water(m/m),PressureHead(mm),Surface Water (mm),Available Water (mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,SoilDiffusivity(mm2_s),ActiveLayerDepth(mm/mo),LeakageFrac(-),AverageAlbedo(ratio_W_m2),FrostDepth(mm/mo),SPEI,WoodMass,TotalBiomass,HOM,HON,SoilDecResp,NEP,GrossNMin,NetNMin,NRatioNit,NetNitr,NDrain,NdepTot,NPoolTot,NetN,RootNSink,PlantNSite,LitterMSite,LitterNSite,Canopy%N,NRatioSite,LitFolNSite,LitRootNSite,LitWoodNSite,Litter%NSite,OpenSpace,CanopyNSite,WoodNSite,RootNSite,DWoodNSite,Wood%NSite,DWood%NSite,NH4dep,NO3dep,NetPsnSite,WoodDecRespSite,WoodMRespSite,WoodGRespSite,FolGRespSite,RootMRespSite,RootGRespSite
1901.8329999999999,1901,11,0,0,1,1.000000000006211,1,0.02394013,349,0.40000000000000008,4.65,6.7750000000000012,8.9,52,295,0,0,6.9813493333333332,31.85168,31.80856,29.65532,0,0,0.01280676,5.19872,0.18536863333333331,3.2533333333333334,0,104.3122,0,0,0.3576455,0,0,0.0009832379,6.798997,0.7660842,0,0.89405310000000016,0,0.146577075123787,0,0,0.1465771,349,0,999000,0.10000000000000002,0.005745631,0,0,7.542043,7.541142,6270.088,185.47,9.401464,-9.402072,0.617013,0.3231075,0,0,0,0.026416,185.8868,-0.2326385,0.5309764,0.1886879,0.1552546,0.001772398,0,1.3,0.001685636,8.339222E-05,3.36921E-06,0.01141607,0.9760599,0,0.014754830000000002,0.00093878019999999991,0.0004009361,0.001956344,0.001992033,0.00951,0.016906,0,0.0006088833,0,0,0,0,0
1901.9170000000001,1901,12,0,0,1,1.000000000006211,1,0.02394013,377,-7.2,-3.75,-2.025,-0.3,87,295,0,0,7.092076,0,0,0,0,0,0,1.553571,0.19225863333333335,2.7433333333333336,0,111.2022,60.74464,0,0.1843093,0,0,0.0003618005,6.775057,0.742144,0,0.89405310000000016,0,0.146577075123787,0.0833116546273232,0.08331165,0.1465771,377,0,999000,0.10000000000000002,0.0179551,0,0,7.535758,7.541142,6261.0980000000009,185.3303,4.049061,-4.049684,0.2661592,0.1398144,0,0,0,0.026416,185.82859999999997,-0.08462828,0.22922809999999996,0.1907637,0.008004805,8.003241E-05,0,1.3,0,7.658881E-05,3.443598E-06,0.009998047,0.9760599,0,0.01474254,0.0008621913,0.0004097882,0.001956344,0.001990953,0.00951,0.016906,0,0.0006226644,0,0,0,0,0
1902,1902,1,0,0,1,1.000000000006211,1,0.02394013,458,-8.2,-4.2,-2.2,-0.20000000000000004,141,295,0,0,12.048313333333333,0,0,0,0,0,0,1.6114299999999997,0.19471316666666669,2.5866666666666664,0,113.65673333333332,166.8975,0,0.2045775,0,0,0.0003398887,6.775057,0.742144,0,0.1674225,0,0,0,0.08331165,0.1465771,458,0,999000,0.10000000000000002,0.0179551,0,0,7.529478,7.541142,6252.516,185.1966,3.865463,-3.8661,0.2542638,0.1337451,0.00478386,0.001983359,0,0.026755,185.7754,-0.07675806,0.1739339,0.1894137,0.007387551,7.385771E-05,0,1.227668,0,7.034043E-05,3.51728E-06,0.00999759,0.9760599,0,0.01473025,0.0007918509,0.0004185563,0.001956344,0.001989928,0.009632,0.017123,0,0.000636315,0,0,0,0,0
1902.0829999999999,1902,2,0,0,1,1.000000000006211,1,0.02394013,613,-11,-5.9000000000000012,-3.35,-0.80000000000000016,38,295,0,0,0,0,0,0,0,0,0,0,0.19471316666666669,2.5866666666666664,0,113.65673333333332,199.1975,0,0.22454490000000002,0,0,0.0002791689,6.775057,0.742144,0,0.1674225,0,0,0,0.08331165,0.1465771,613,0,999000,0.10000000000000002,0.0179551,0,0,7.523204,7.517201,6245.285,185.0838,3.257035,-3.257684,0.2143817,0.1129112,0.00478386,0.002216777,0,0.026755,185.7287,-0.07346216,0.1467419,0.19121620000000003,0.0068212030000000005,6.819209E-05,0,1.227668,0,6.460182E-05,3.590263E-06,0.009997076,0.9760599,0,0.01471798,0.0007272491,0.0004272412,0.001956344,0.001988955,0.009632,0.017123,0,0.000649836,0,0,0,0,0
1902.1670000000001,1902,3,0,0,1,1.000000000006211,1,0.02394013,674,-3,1.1,3.15,5.2,61,295,0,0,76.921013333333335,31.26056,31.26056,0,0,0,0,5.315714,0.2590676,0.68666666666666665,0,178.01116666666667,112.42990000000002,0,0.2901618,0,0,0.0006868117,6.775057,0.742144,0,0.1674225,0,0,0,0.08331165,0.1465771,674,0,999000,0.10000000000000002,0.0179551,0,0,7.516934,7.517201,6230.7409999999991,184.8565,6.547432,-6.548096,0.43119559999999996,0.2273482,0.00478386,0.003016114,0,0.026755,185.5558,-0.1995913,0.2955019,0.1961109,0.0063016,6.299395E-05,0,1.227668,0,5.933139E-05,3.662552E-06,0.0099965,0.9760599,0,0.014705710000000002,0.0006679177,0.0004358437,0.001956344,0.00198803,0.009632,0.017123,0,0.0006632287,0,0,0,0,0
1902.25,1902,4,0,0,1,1.000000000006211,1,0.02394013,766,0.9,5.75,8.175,10.6,62,295,0,0,114.2992,46.45021,46.45021,46.417953333333337,0,0,0,6.2,0.26658016666666667,0.6,0,185.52373333333333,0,0,0.4336026,0,0,0.001206566,6.751117,0.742144,0,0.1674225,0,0,0,0.08331165,0.1465771,766,0,999000,0.10000000000000002,0.005745631,0,0,7.51067,7.517201,6207.6530000000012,184.4945,10.39216,-10.39283,0.68515349999999986,0.3620319,0.00478386,0.0038926699999999996,0,0.026755,185.1802,-0.4023501,0.47044330000000006,0.2059795,0.005824924999999999,5.82251E-05,0,1.227668,0,5.449095E-05,3.734153E-06,0.009995854,0.9760599,0,0.01469346,0.0006134267,0.0004443643,0.001956344,0.00198715,0.009632,0.017123,0,0.00067649409999999985,0,0,0,0,0
1902.3329999999999,1902,5,0,0,1,1.000000000006211,1,0.02422794,848,7.5,14.1,17.4,20.7,36,295,0,0,57.61715,89.10762,89.10762,39.75276,0.05033752,0.05033752,0,3.6,0.20155993333333333,2.1999999999999997,0,120.50349999999999,0,0.002522722,0.950523,0.1787808,0.1595285,0.003006942,6.832278,0.7510661,0.1501077,0.2489006,0,0,0,0.084313220000000008,0.1483392,846.79599999999994,0,999000,0.10000000000000002,0,0,0,7.594629,7.583344,6154.7570000000005,183.6609,23.80556,-23.65924,1.5722499999999997,0.8336329,0.00478386,0.006085589,0,0.026755,183.9465,-1.266471,0.98,0.23990159999999997,0.005452439,5.449785E-05,2.172028,1.227668,0,5.064703E-05,3.850818E-06,0.009995132,0.9757721,0.00326038,0.014857710000000001,0.0005701543,0.0004582473,0.001956344,0.001986311,0.009632,0.017123,0.1595285,0.0006979241,0.012514660000000002,0,0,0,0
1902.4170000000001,1902,6,0,0,1,1.000000000006211,1,0.02422794,808,11.4,17.65,20.775,23.899999999999995,56,295,0,0,23.178123333333332,111.9345,111.77929999999999,33.33171,0.062183000000000009,0.062183000000000009,0.01412546,5.598588,0.19537516666666666,2.5433333333333334,0,114.31873333333334,0,0.002522722,1.104694,0.18777239999999998,0.1641576,0.004204097,8.310183,0.9206616,0.1501077,0.2160725,0,0,0,0.084313220000000008,0.1483392,806.8528,0,999000,0.10000000000000002,0,0,0,9.221085,9.230844,6080.094,182.4702,33.60049,-33.63403,2.228121,1.190744,0.00478386,0.005863559,0,0.026755,182.78370000000004,-1.189551,0.98,0.2654257,0.005048831,5.046485E-05,2.172028,1.227668,0,4.6515079999999996E-05,3.94977E-06,0.009995354,0.9757721,0.00326038,0.01885436,0.0005236392,0.0004700226,0.002044701,0.001988195,0.009632,0.017123,0.1641576,0.00071518,0.01314407,0.1838415,0,0,0
1902.5,1902,7,0,0,1,1.000000000006211,1,0.02422794,698,15.9,20.8,23.25,25.7,71,295,0,0,25.431813333333334,136.9866,136.7967,33.993913333333332,0.05879867,0.05879867,0.01790907,7.098209,0.19977449999999997,2.2933333333333334,0,118.71809999999999,0,0.002522722,1.045375,0.1876278,0.1583386,0.00651111,8.285954,0.9206616,0.1501077,0.3612772,0,0,0,0.084313220000000008,0.1483392,697.009,0,999000,0.10000000000000002,0,0,0,9.2134,9.206616,5979.254,180.8348,45.38044,-45.23597,3.026479,1.635471,0.00478386,0.007986654,0,0.026755,181.1971,-1.613288,0.98,0.3054833,0.004678841,4.676801E-05,2.172028,1.227668,0,4.272023E-05,4.047788E-06,0.009995641,0.9757721,0.00326038,0.01883865,0.000480919,0.00048168679999999994,0.002044701,0.001989974,0.009632,0.017123,0.1583386,0.00073227279999999991,0.01313395,0,0,0,0
1902.5829999999999,1902,8,0,0,1,1.000000000006211,1,0.02422794,731,11.4,16.45,18.975,21.5,43,295,0,0,17.135296666666665,98.60686,98.47013,31.908593333333332,0.043947690000000005,0.043947690000000005,0.010846340000000001,4.298915,0.189377,2.94,0,108.32053333333333,0,0.002522722,0.8458514,0.173318,0.1507142,0.00438276,8.285954,0.9206616,0.1501077,0.4998592,0,0,0,0.084313220000000008,0.1483392,729.96210000000008,0,999000,0.10000000000000002,0,0,0,9.205723,9.206616,5914.878,179.7668,28.971140000000002,-28.833299999999998,1.9470979999999998,1.06804,0.00478386,0.005314401,0,0.026755,180.14469999999997,-1.079199,0.98,0.3322785,0.004339722,4.3379850000000004E-05,2.172028,1.227668,0,3.923497E-05,4.144881E-06,0.009995999,0.9757721,0.00326038,0.01882295,0.00044168400000000008,0.0004932408,0.002044701,0.001991656,0.009632,0.017123,0.1507142,0.0007492041,0.01213226,0,0,0,0
