species,percent,year
acerrubr,16.55,1999
querrubr,83.45,1999
acerrubr,14.9,2009
querrubr,85.09,2009
acerrubr,15.28,2019
querrubr,84.72,2019
acerrubr,14.29,2029
querrubr,85.72,2029
acerrubr,13.16,2039
querrubr,86.84,2039
acerrubr,12.07,2049
querrubr,87.93,2049
