species,percent,year
acerrubr,6.77,1999
querrubr,93.23,1999
acerrubr,6.67,2009
querrubr,93.34,2009
acerrubr,6.96,2019
querrubr,93.04,2019
acerrubr,6.76,2029
querrubr,93.25,2029
acerrubr,6.67,2039
querrubr,93.33,2039
acerrubr,6.41,2049
querrubr,93.59,2049
zzzzzz,20,2049
ddd,12,1999
