Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
59, -1, eco2, 778.26, 13.21, 77, 325, 
60, -1, eco1, 778.26, 13.21, 77, 325, 
60, -1, eco2, 778.26, 13.21, 77, 325, 
61, -1, eco1, 778.26, 13.21, 77, 325, 
61, -1, eco2, 778.26, 13.21, 77, 325, 
62, -1, eco1, 778.26, 13.21, 77, 325, 
62, -1, eco2, 778.26, 13.21, 77, 325, 
63, -1, eco1, 778.26, 13.21, 77, 325, 
63, -1, eco2, 778.26, 13.21, 77, 325, 
64, -1, eco1, 778.26, 13.21, 77, 325, 
64, -1, eco2, 778.26, 13.21, 77, 325, 
65, -1, eco1, 778.26, 13.21, 77, 325, 
65, -1, eco2, 778.26, 13.21, 77, 325, 
66, -1, eco1, 778.26, 13.21, 77, 325, 
66, -1, eco2, 778.26, 13.21, 77, 325, 
67, -1, eco1, 778.26, 13.21, 77, 325, 
67, -1, eco2, 778.26, 13.21, 77, 325, 
68, -1, eco1, 778.26, 13.21, 77, 325, 
68, -1, eco2, 778.26, 13.21, 77, 325, 
69, -1, eco1, 778.26, 13.21, 77, 325, 
69, -1, eco2, 778.26, 13.21, 77, 325, 
70, -1, eco1, 778.26, 13.21, 77, 325, 
70, -1, eco2, 778.26, 13.21, 77, 325, 
71, -1, eco1, 778.26, 13.21, 77, 325, 
71, -1, eco2, 778.26, 13.21, 77, 325, 
72, -1, eco1, 778.26, 13.21, 77, 325, 
72, -1, eco2, 778.26, 13.21, 77, 325, 
73, -1, eco1, 778.26, 13.21, 77, 325, 
73, -1, eco2, 778.26, 13.21, 77, 325, 
74, -1, eco1, 778.26, 13.21, 77, 325, 
74, -1, eco2, 778.26, 13.21, 77, 325, 
75, -1, eco1, 778.26, 13.21, 77, 325, 
75, -1, eco2, 778.26, 13.21, 77, 325, 
76, -1, eco1, 778.26, 13.21, 77, 325, 
76, -1, eco2, 778.26, 13.21, 77, 325, 
77, -1, eco1, 778.26, 13.21, 77, 325, 
77, -1, eco2, 778.26, 13.21, 77, 325, 
78, -1, eco1, 778.26, 13.21, 77, 325, 
78, -1, eco2, 778.26, 13.21, 77, 325, 
79, -1, eco1, 778.26, 13.21, 77, 325, 
79, -1, eco2, 778.26, 13.21, 77, 325, 
80, -1, eco1, 778.26, 13.21, 77, 325, 
80, -1, eco2, 778.26, 13.21, 77, 325, 
81, -1, eco1, 778.26, 13.21, 77, 325, 
81, -1, eco2, 778.26, 13.21, 77, 325, 
82, -1, eco1, 778.26, 13.21, 77, 325, 
82, -1, eco2, 778.26, 13.21, 77, 325, 
83, -1, eco1, 778.26, 13.21, 77, 325, 
83, -1, eco2, 778.26, 13.21, 77, 325, 
84, -1, eco1, 778.26, 13.21, 77, 325, 
84, -1, eco2, 778.26, 13.21, 77, 325, 
85, -1, eco1, 778.26, 13.21, 77, 325, 
85, -1, eco2, 778.26, 13.21, 77, 325, 
86, -1, eco1, 778.26, 13.21, 77, 325, 
86, -1, eco2, 778.26, 13.21, 77, 325, 
87, -1, eco1, 778.26, 13.21, 77, 325, 
87, -1, eco2, 778.26, 13.21, 77, 325, 
88, -1, eco1, 778.26, 13.21, 77, 325, 
88, -1, eco2, 778.26, 13.21, 77, 325, 
89, -1, eco1, 778.26, 13.21, 77, 325, 
89, -1, eco2, 778.26, 13.21, 77, 325, 
90, -1, eco1, 778.26, 13.21, 77, 325, 
90, -1, eco2, 778.26, 13.21, 77, 325, 
91, -1, eco1, 778.26, 13.21, 77, 325, 
