Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
0, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
5, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
5, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
10, 101, 1881, 1292.6794258373207, 639.5863902179692, 644.1685273790537, 773.0233918128655, 550.9782030834663, 784.6161616161617, 1529.7581073896863, 531.4997341839447, 2193.717703349282, 1107.855927698033, 985.6438064859118, 736.1860712387028, 713.4646464646464, 907.1398192450824, 771.2349813928761, 
10, 102, 7920, 509.06717171717173, 769.4190656565656, 525.0051767676767, 1065.6770202020202, 1139.4767676767676, 1053.4799242424242, 697.2628787878788, 888.2405303030303, 3694.053282828283, 1188.9507575757575, 1791.5989898989899, 1238.1638888888888, 1010.2169191919191, 1054.2174242424242, 889.2460858585858, 
15, 101, 1881, 1292.6794258373207, 639.5863902179692, 644.1685273790537, 773.0233918128655, 550.9782030834663, 784.6161616161617, 1529.7581073896863, 531.4997341839447, 2193.717703349282, 1107.855927698033, 985.6438064859118, 736.1860712387028, 713.4646464646464, 907.1398192450824, 771.2349813928761, 
15, 102, 7920, 509.06717171717173, 769.4190656565656, 525.0051767676767, 1065.6770202020202, 1139.4767676767676, 1053.4799242424242, 697.2628787878788, 888.2405303030303, 3694.053282828283, 1188.9507575757575, 1791.5989898989899, 1238.1638888888888, 1010.2169191919191, 1054.2174242424242, 889.2460858585858, 
20, 101, 1881, 2060.8607123870283, 1105.6507177033493, 771.7070707070707, 909.6693248272196, 797.0792131844763, 772.3545986177566, 1311.9516214779374, 724.5438596491229, 1812.9080276448697, 1167.7570441254652, 1121.905369484317, 974.5895800106326, 801.2222222222222, 1074.2169059011164, 860.3705475810739, 
20, 102, 7920, 691.3435606060606, 1192.0905303030304, 748.3858585858586, 1453.8974747474747, 1619.9440656565657, 1415.5974747474747, 776.2489898989899, 1278.9135101010102, 3800.168686868687, 1417.6786616161617, 2451.87297979798, 1861.352398989899, 1309.5137626262626, 1458.1409090909092, 1219.5930555555556, 
25, 101, 1881, 2060.8607123870283, 1105.6507177033493, 771.7070707070707, 909.6693248272196, 797.0792131844763, 772.3545986177566, 1311.9516214779374, 724.5438596491229, 1812.9080276448697, 1167.7570441254652, 1121.905369484317, 974.5895800106326, 801.2222222222222, 1074.2169059011164, 860.3705475810739, 
25, 102, 7920, 691.3435606060606, 1192.0905303030304, 748.3858585858586, 1453.8974747474747, 1619.9440656565657, 1415.5974747474747, 776.2489898989899, 1278.9135101010102, 3800.168686868687, 1417.6786616161617, 2451.87297979798, 1861.352398989899, 1309.5137626262626, 1458.1409090909092, 1219.5930555555556, 
30, 101, 1881, 3082.370547581074, 1529.4481658692184, 915.5895800106326, 915.0946305156831, 914.6299840510367, 745.6570972886763, 1164.2934609250399, 796.0026581605529, 1437.1408825093035, 1169.5002658160554, 1079.9059011164275, 1053.6347687400319, 844.1982987772461, 1201.3343965975546, 963.4183944710261, 
30, 102, 7920, 843.1243686868687, 1473.8193181818183, 912.6507575757576, 1633.8395202020201, 1857.1510101010101, 1582.2256313131313, 824.5723484848485, 1585.6568181818182, 3851.8559343434345, 1495.4574494949495, 2819.435101010101, 2300.0016414141414, 1458.7655303030303, 1680.4420454545455, 1391.5787878787878, 
35, 101, 1881, 3082.370547581074, 1529.4481658692184, 915.5895800106326, 915.0946305156831, 914.6299840510367, 745.6570972886763, 1164.2934609250399, 796.0026581605529, 1437.1408825093035, 1169.5002658160554, 1079.9059011164275, 1053.6347687400319, 844.1982987772461, 1201.3343965975546, 963.4183944710261, 
35, 102, 7920, 843.1243686868687, 1473.8193181818183, 912.6507575757576, 1633.8395202020201, 1857.1510101010101, 1582.2256313131313, 824.5723484848485, 1585.6568181818182, 3851.8559343434345, 1495.4574494949495, 2819.435101010101, 2300.0016414141414, 1458.7655303030303, 1680.4420454545455, 1391.5787878787878, 
40, 101, 1881, 4304.638490164806, 1863.3561935140883, 1006.9994683678894, 919.8032961190856, 960.8367889420521, 673.6507177033493, 1041.2599681020733, 780.3099415204679, 1105.965975544923, 1067.454013822435, 990.1467304625199, 1046.839447102605, 858.5215311004785, 1277.8793195108985, 967.4407230196704, 
40, 102, 7920, 952.3352272727273, 1573.8400252525253, 1040.0320707070707, 1676.3194444444443, 1906.1127525252525, 1630.3996212121212, 829.7176767676767, 1750.1170454545454, 3828.4345959595958, 1451.509595959596, 2915.685606060606, 2511.2391414141416, 1498.332702020202, 1775.5439393939394, 1462.2103535353535, 
45, 101, 1881, 4304.638490164806, 1863.3561935140883, 1006.9994683678894, 919.8032961190856, 960.8367889420521, 673.6507177033493, 1041.2599681020733, 780.3099415204679, 1105.965975544923, 1067.454013822435, 990.1467304625199, 1046.839447102605, 858.5215311004785, 1277.8793195108985, 967.4407230196704, 
45, 102, 7920, 952.3352272727273, 1573.8400252525253, 1040.0320707070707, 1676.3194444444443, 1906.1127525252525, 1630.3996212121212, 829.7176767676767, 1750.1170454545454, 3828.4345959595958, 1451.509595959596, 2915.685606060606, 2511.2391414141416, 1498.332702020202, 1775.5439393939394, 1462.2103535353535, 
50, 101, 1881, 5651.480595427964, 2078.337586390218, 1098.4444444444443, 919.5986177565125, 917.9792663476874, 633.4391281233386, 906.2280701754386, 768.7708665603402, 851.742158426369, 981.5800106326423, 836.632110579479, 1031.6251993620415, 846.5380116959064, 1230.9654439128124, 900.0377458798512, 
50, 102, 7920, 1036.0876262626264, 1621.1373737373738, 1160.1666666666667, 1704.0493686868688, 1909.670202020202, 1667.0705808080809, 811.8613636363636, 1813.3830808080809, 3766.297601010101, 1382.8113636363637, 2924.538888888889, 2574.7194444444444, 1518.1578282828282, 1855.8991161616161, 1517.7492424242423, 
