Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
0, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
5, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
5, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
10, 101, 1881, 1289.043062200957, 634.6868686868687, 658.8702817650186, 804.6799574694312, 525.6656034024455, 784.5528973950027, 1491.294524189261, 507.77937267410954, 2157.031897926635, 1129.7618288144604, 995.5911749069644, 759.8745348219032, 716.3912812333865, 902.5305688463583, 761.288144603934, 
10, 102, 7920, 509.48699494949494, 767.5554292929293, 525.4625, 1068.011616161616, 1144.0521464646465, 1050.8348484848484, 699.9727272727273, 889.2587121212122, 3692.742297979798, 1192.0073232323232, 1792.7320707070708, 1237.4138888888888, 1011.9410353535353, 1051.8109848484848, 886.8380050505051, 
15, 101, 1881, 1289.043062200957, 634.6868686868687, 658.8702817650186, 804.6799574694312, 525.6656034024455, 784.5528973950027, 1491.294524189261, 507.77937267410954, 2157.031897926635, 1129.7618288144604, 995.5911749069644, 759.8745348219032, 716.3912812333865, 902.5305688463583, 761.288144603934, 
15, 102, 7920, 509.48699494949494, 767.5554292929293, 525.4625, 1068.011616161616, 1144.0521464646465, 1050.8348484848484, 699.9727272727273, 889.2587121212122, 3692.742297979798, 1192.0073232323232, 1792.7320707070708, 1237.4138888888888, 1011.9410353535353, 1051.8109848484848, 886.8380050505051, 
20, 101, 1881, 2059.5528973950027, 1113.207336523126, 808.0744284954811, 948.6698564593302, 768.9415204678363, 757.0170122275385, 1272.8601807549176, 681.5847953216374, 1756.11004784689, 1157.6374269005848, 1176.1132376395535, 1004.3157894736842, 811.6634768740032, 1069.1850079744816, 863.6581605528974, 
20, 102, 7920, 691.4229797979798, 1188.4551767676767, 750.8897727272728, 1455.659595959596, 1628.1868686868686, 1410.2263888888888, 779.03851010101, 1279.5619949494949, 3796.955808080808, 1418.598611111111, 2454.254292929293, 1858.7522727272728, 1310.7430555555557, 1454.8806818181818, 1216.4910353535354, 
25, 101, 1881, 2059.5528973950027, 1113.207336523126, 808.0744284954811, 948.6698564593302, 768.9415204678363, 757.0170122275385, 1272.8601807549176, 681.5847953216374, 1756.11004784689, 1157.6374269005848, 1176.1132376395535, 1004.3157894736842, 811.6634768740032, 1069.1850079744816, 863.6581605528974, 
25, 102, 7920, 691.4229797979798, 1188.4551767676767, 750.8897727272728, 1455.659595959596, 1628.1868686868686, 1410.2263888888888, 779.03851010101, 1279.5619949494949, 3796.955808080808, 1418.598611111111, 2454.254292929293, 1858.7522727272728, 1310.7430555555557, 1454.8806818181818, 1216.4910353535354, 
30, 101, 1881, 3068.910685805423, 1554.1472620946306, 951.766081871345, 1010.8734715576821, 877.8942052099947, 742.2769803296119, 1172.0271132376395, 754.4534821903243, 1453.6150983519406, 1152.3737373737374, 1128.902711323764, 1095.421052631579, 842.5943646996278, 1226.5598086124403, 925.8118022328549, 
30, 102, 7920, 842.1641414141415, 1468.4463383838383, 917.1760101010101, 1637.4103535353536, 1868.360101010101, 1575.6645202020202, 826.7443181818181, 1585.9022727272727, 3846.6575757575756, 1495.7439393939394, 2822.8656565656565, 2295.530808080808, 1459.2536616161617, 1678.0919191919193, 1388.5892676767676, 
35, 101, 1881, 3068.910685805423, 1554.1472620946306, 951.766081871345, 1010.8734715576821, 877.8942052099947, 742.2769803296119, 1172.0271132376395, 754.4534821903243, 1453.6150983519406, 1152.3737373737374, 1128.902711323764, 1095.421052631579, 842.5943646996278, 1226.5598086124403, 925.8118022328549, 
35, 102, 7920, 842.1641414141415, 1468.4463383838383, 917.1760101010101, 1637.4103535353536, 1868.360101010101, 1575.6645202020202, 826.7443181818181, 1585.9022727272727, 3846.6575757575756, 1495.7439393939394, 2822.8656565656565, 2295.530808080808, 1459.2536616161617, 1678.0919191919193, 1388.5892676767676, 
40, 101, 1881, 4268.181286549708, 1867.2902711323763, 1039.5523657628921, 969.7139819245083, 936.438596491228, 712.7527910685806, 1030.5837320574162, 771.6767676767677, 1139.066985645933, 1080.0637958532695, 1010.2684742158426, 1055.7107921318448, 843.8798511430091, 1251.8532695374802, 946.2679425837321, 
40, 102, 7920, 951.0803030303031, 1567.9583333333333, 1043.9359848484848, 1680.5436868686868, 1919.3803030303031, 1624.0368686868687, 831.3631313131314, 1750.5671717171717, 3821.8275252525254, 1451.6375, 2921.179166666667, 2506.5170454545455, 1500.0561868686868, 1776.742297979798, 1459.1146464646465, 
45, 101, 1881, 4268.181286549708, 1867.2902711323763, 1039.5523657628921, 969.7139819245083, 936.438596491228, 712.7527910685806, 1030.5837320574162, 771.6767676767677, 1139.066985645933, 1080.0637958532695, 1010.2684742158426, 1055.7107921318448, 843.8798511430091, 1251.8532695374802, 946.2679425837321, 
45, 102, 7920, 951.0803030303031, 1567.9583333333333, 1043.9359848484848, 1680.5436868686868, 1919.3803030303031, 1624.0368686868687, 831.3631313131314, 1750.5671717171717, 3821.8275252525254, 1451.6375, 2921.179166666667, 2506.5170454545455, 1500.0561868686868, 1776.742297979798, 1459.1146464646465, 
50, 101, 1881, 5597.989367357788, 2028.9479000531633, 1093.482721956406, 875.7511961722488, 921.7474747474747, 648.0414673046251, 931.331206804891, 734.591706539075, 850.5013290802765, 969.9138755980862, 908.7846889952153, 1031.7389686337056, 823.3056884635832, 1262.1127060074427, 893.936735778841, 
50, 102, 7920, 1034.1748737373737, 1614.5825757575758, 1164.6030303030302, 1708.2347222222222, 1923.1820707070708, 1659.9395202020203, 813.8602272727272, 1813.9635101010101, 3759.371212121212, 1382.8016414141414, 2929.846085858586, 2569.9559343434344, 1520.0491161616162, 1856.2617424242424, 1515.4919191919191, 
