Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
201, -1, 101, 778.34, 13.22, 77, 325, 
201, -1, 102, 778.34, 13.22, 77, 325, 
202, -1, 101, 778.34, 13.22, 77, 325, 
202, -1, 102, 778.34, 13.22, 77, 325, 
203, -1, 101, 778.34, 13.22, 77, 325, 
203, -1, 102, 778.34, 13.22, 77, 325, 
204, -1, 101, 778.34, 13.22, 77, 325, 
204, -1, 102, 778.34, 13.22, 77, 325, 
205, -1, 101, 778.34, 13.22, 77, 325, 
205, -1, 102, 778.34, 13.22, 77, 325, 
206, -1, 101, 778.34, 13.22, 77, 325, 
206, -1, 102, 778.34, 13.22, 77, 325, 
207, -1, 101, 778.34, 13.22, 77, 325, 
207, -1, 102, 778.34, 13.22, 77, 325, 
208, -1, 101, 778.34, 13.22, 77, 325, 
208, -1, 102, 778.34, 13.22, 77, 325, 
209, -1, 101, 778.34, 13.22, 77, 325, 
209, -1, 102, 778.34, 13.22, 77, 325, 
210, -1, 101, 778.34, 13.22, 77, 325, 
210, -1, 102, 778.34, 13.22, 77, 325, 
211, -1, 101, 778.34, 13.22, 77, 325, 
211, -1, 102, 778.34, 13.22, 77, 325, 
212, -1, 101, 778.34, 13.22, 77, 325, 
212, -1, 102, 778.34, 13.22, 77, 325, 
213, -1, 101, 778.34, 13.22, 77, 325, 
213, -1, 102, 778.34, 13.22, 77, 325, 
214, -1, 101, 778.34, 13.22, 77, 325, 
214, -1, 102, 778.34, 13.22, 77, 325, 
215, -1, 101, 778.34, 13.22, 77, 325, 
215, -1, 102, 778.34, 13.22, 77, 325, 
216, -1, 101, 778.34, 13.22, 77, 325, 
216, -1, 102, 778.34, 13.22, 77, 325, 
217, -1, 101, 778.34, 13.22, 77, 325, 
217, -1, 102, 778.34, 13.22, 77, 325, 
218, -1, 101, 778.34, 13.22, 77, 325, 
218, -1, 102, 778.34, 13.22, 77, 325, 
219, -1, 101, 778.34, 13.22, 77, 325, 
219, -1, 102, 778.34, 13.22, 77, 325, 
220, -1, 101, 778.34, 13.22, 77, 325, 
220, -1, 102, 778.34, 13.22, 77, 325, 
221, -1, 101, 778.34, 13.22, 77, 325, 
221, -1, 102, 778.34, 13.22, 77, 325, 
222, -1, 101, 778.34, 13.22, 77, 325, 
222, -1, 102, 778.34, 13.22, 77, 325, 
223, -1, 101, 778.34, 13.22, 77, 325, 
223, -1, 102, 778.34, 13.22, 77, 325, 
224, -1, 101, 778.34, 13.22, 77, 325, 
224, -1, 102, 778.34, 13.22, 77, 325, 
225, -1, 101, 778.34, 13.22, 77, 325, 
225, -1, 102, 778.34, 13.22, 77, 325, 
226, -1, 101, 778.34, 13.22, 77, 325, 
226, -1, 102, 778.34, 13.22, 77, 325, 
227, -1, 101, 778.34, 13.22, 77, 325, 
227, -1, 102, 778.34, 13.22, 77, 325, 
228, -1, 101, 778.34, 13.22, 77, 325, 
228, -1, 102, 778.34, 13.22, 77, 325, 
229, -1, 101, 778.34, 13.22, 77, 325, 
229, -1, 102, 778.34, 13.22, 77, 325, 
230, -1, 101, 778.34, 13.22, 77, 325, 
230, -1, 102, 778.34, 13.22, 77, 325, 
231, -1, 101, 778.34, 13.22, 77, 325, 
231, -1, 102, 778.34, 13.22, 77, 325, 
232, -1, 101, 778.34, 13.22, 77, 325, 
232, -1, 102, 778.34, 13.22, 77, 325, 
233, -1, 101, 778.34, 13.22, 77, 325, 
233, -1, 102, 778.34, 13.22, 77, 325, 
234, -1, 101, 778.34, 13.22, 77, 325, 
234, -1, 102, 778.34, 13.22, 77, 325, 
235, -1, 101, 778.34, 13.22, 77, 325, 
235, -1, 102, 778.34, 13.22, 77, 325, 
236, -1, 101, 778.34, 13.22, 77, 325, 
236, -1, 102, 778.34, 13.22, 77, 325, 
237, -1, 101, 778.34, 13.22, 77, 325, 
237, -1, 102, 778.34, 13.22, 77, 325, 
238, -1, 101, 778.34, 13.22, 77, 325, 
238, -1, 102, 778.34, 13.22, 77, 325, 
239, -1, 101, 778.34, 13.22, 77, 325, 
239, -1, 102, 778.34, 13.22, 77, 325, 
240, -1, 101, 778.34, 13.22, 77, 325, 
240, -1, 102, 778.34, 13.22, 77, 325, 
241, -1, 101, 778.34, 13.22, 77, 325, 
241, -1, 102, 778.34, 13.22, 77, 325, 
242, -1, 101, 778.34, 13.22, 77, 325, 
242, -1, 102, 778.34, 13.22, 77, 325, 
243, -1, 101, 778.34, 13.22, 77, 325, 
243, -1, 102, 778.34, 13.22, 77, 325, 
244, -1, 101, 778.34, 13.22, 77, 325, 
244, -1, 102, 778.34, 13.22, 77, 325, 
245, -1, 101, 778.34, 13.22, 77, 325, 
245, -1, 102, 778.34, 13.22, 77, 325, 
246, -1, 101, 778.34, 13.22, 77, 325, 
246, -1, 102, 778.34, 13.22, 77, 325, 
247, -1, 101, 778.34, 13.22, 77, 325, 
247, -1, 102, 778.34, 13.22, 77, 325, 
248, -1, 101, 778.34, 13.22, 77, 325, 
248, -1, 102, 778.34, 13.22, 77, 325, 
249, -1, 101, 778.34, 13.22, 77, 325, 
249, -1, 102, 778.34, 13.22, 77, 325, 
250, -1, 101, 778.34, 13.22, 77, 325, 
250, -1, 102, 778.34, 13.22, 77, 325, 
251, -1, 101, 778.34, 13.22, 77, 325, 
251, -1, 102, 778.34, 13.22, 77, 325, 
252, -1, 101, 778.34, 13.22, 77, 325, 
252, -1, 102, 778.34, 13.22, 77, 325, 
253, -1, 101, 778.34, 13.22, 77, 325, 
253, -1, 102, 778.34, 13.22, 77, 325, 
254, -1, 101, 778.34, 13.22, 77, 325, 
254, -1, 102, 778.34, 13.22, 77, 325, 
255, -1, 101, 778.34, 13.22, 77, 325, 
255, -1, 102, 778.34, 13.22, 77, 325, 
256, -1, 101, 778.34, 13.22, 77, 325, 
256, -1, 102, 778.34, 13.22, 77, 325, 
257, -1, 101, 778.34, 13.22, 77, 325, 
257, -1, 102, 778.34, 13.22, 77, 325, 
258, -1, 101, 778.34, 13.22, 77, 325, 
258, -1, 102, 778.34, 13.22, 77, 325, 
259, -1, 101, 778.34, 13.22, 77, 325, 
259, -1, 102, 778.34, 13.22, 77, 325, 
260, -1, 101, 778.34, 13.22, 77, 325, 
260, -1, 102, 778.34, 13.22, 77, 325, 
261, -1, 101, 778.34, 13.22, 77, 325, 
261, -1, 102, 778.34, 13.22, 77, 325, 
262, -1, 101, 778.34, 13.22, 77, 325, 
262, -1, 102, 778.34, 13.22, 77, 325, 
263, -1, 101, 778.34, 13.22, 77, 325, 
263, -1, 102, 778.34, 13.22, 77, 325, 
264, -1, 101, 778.34, 13.22, 77, 325, 
264, -1, 102, 778.34, 13.22, 77, 325, 
265, -1, 101, 778.34, 13.22, 77, 325, 
265, -1, 102, 778.34, 13.22, 77, 325, 
266, -1, 101, 778.34, 13.22, 77, 325, 
266, -1, 102, 778.34, 13.22, 77, 325, 
267, -1, 101, 778.34, 13.22, 77, 325, 
267, -1, 102, 778.34, 13.22, 77, 325, 
268, -1, 101, 778.34, 13.22, 77, 325, 
