Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 13670, 598, 233, 4969, 0, 
20, eco999, 1, 16246, 621, 239, 2985, 0, 
30, eco999, 1, 8689, 538, 210, 7081, 0, 
40, eco999, 1, 12830, 649, 256, 3220, 0, 
50, eco999, 1, 14647, 687, 272, 2765, 0, 
60, eco999, 1, 11322, 639, 273, 4896, 0, 
70, eco999, 1, 11051, 714, 287, 5408, 0, 
80, eco999, 1, 5420, 871, 280, 10796, 0, 
90, eco999, 1, 6929, 749, 318, 8840, 0, 
100, eco999, 1, 3672, 770, 253, 10604, 0, 
