Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(m),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.008198387,0,0,0,0,103,208,0,2.474138,4.996318,6.991801,0.05058465,1,0.2071477,1.94,0.7004498,1,0,0,0.02929041,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.009787017,0,0,0,0,103,208,0,2.474138,4.996318,6.982014,0.05051384,1,0.2071477,1.94,0.8332049,1,0,0,0.03496612,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.02179425,0,0,0,0,103,208,0,2.474138,4.996318,6.96022,0.05035617,1,0.2039401,2.082,0.9055121,1,0,0,0.07786443,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.0564969,0,0,0,0,103,208,0,2.474138,4.996318,6.903722,0.04994741,1,0.2276616,1.25,0.9532014,1,0,0.606814,0.2018467,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1941.33,1941,5,1,0,0.02402076,1,0.1032341,0.002479762,4.833363,0.8465126,0.1080482,3.98685,0.02640458,0.01612235,6.143103,103,208,0.147562,2.474138,4.996318,8.018127,0.05688632,1,0.2157015,1.606,0.5296506,1,0.9024332,0.8801895,0.3860244,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1941.42,1941,6,1,0,0.02402076,1,0.1032341,0.002479762,5.112343,1.184437,0.1799125,3.927906,0.0366605,0.0122823,6.143103,103,208,0.147562,2.474138,4.996318,11.76612,0.08347727,1,0.1975046,2.546,0.5195715,1,0.9024332,0.9884925,0.6427742,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1941.5,1941,7,1,0,0.02402076,1,0.1032341,0.002479762,4.875193,1.408746,0.218101,3.466446,0.03924478,0.01094128,6.143103,103,208,0.147562,2.474138,4.996318,15.01447,0.1065234,1,0.1850446,3.312,0.4972402,1,0.9024332,0.9999998,0.7792103,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1941.58,1941,8,1,0,0.02402076,1,0.1032341,0.002479762,4.302947,1.30502,0.1883747,2.997926,0.03113209,0.01217351,6.143103,103,208,0.147562,2.474138,4.996318,17.82402,0.1264563,1,0.1789369,3.89,0.4609656,1,0.9024332,0.9954438,0.6730069,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1941.67,1941,9,1,0,0.02402076,1,0.1032341,0.002479762,3.238663,0.9361039,0.119055,2.302559,0.01768189,0.01613226,6.143103,103,208,0.147562,2.474138,4.996318,20.00752,0.1419476,1,0.1996252,2.302,0.4078971,1,0.9024332,0.9206426,0.4253482,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1941.75,1941,10,1,0,0.02402076,1,0.1032341,0.002479762,1.895108,0.6430706,0.06693591,1.252037,0.007211416,0.02314576,6.143103,103,208,0.147562,2.474138,4.996318,21.19262,0.1503556,1,0.1989299,2.342,0.3203979,1,0.9024332,0.7175319,0.2391422,1,True,0.987637,2.3,0.02,1,201.25,fRad,
